PointID,Latitude,Longitude,X_m,Y_m
1,13.0023988590297,80.1111569679287,-1.76532921614125e-09,-2.75861111731501e-10
2,13.1835643905451,79.9000646638076,-22870.5762642135,20144.6879873678
3,12.8058493160592,80.2138800332677,11129.4237357865,-21855.3120126322
4,13.0756457978348,80.2692592161136,17129.4237357865,8144.68798736783
5,12.8418221802959,80.04774248473,-6870.57626421352,-17855.3120126322
6,13.1475915263083,80.04774248473,-6870.57626421352,16144.6879873678
7,13.0216865014797,79.9739035742688,-14870.5762642135,2144.68798736783
8,12.9497407730062,80.232339760883,13129.4237357865,-5855.31201263217
9,13.1116186620716,80.1585008504218,5129.42373578648,12144.6879873678
10,12.8957814766511,80.1400411228065,3129.42373578648,-11855.3120126322
11,12.9317543408878,80.0108230294994,-10870.5762642135,-7855.31201263217
12,13.1116186620716,79.9554438466535,-16870.5762642135,12144.6879873678
13,13.0576593657164,80.04774248473,-6870.57626421352,6144.68798736783
14,13.0216865014797,80.1954203056524,9129.42373578648,2144.68798736783
15,12.8238357481776,80.1215813951912,1129.42373578648,-19855.3120126322
16,12.8777950445327,80.2138800332677,11129.4237357865,-13855.3120126322
17,12.9317543408878,80.0846619399606,-2870.57626421352,-7855.31201263217
18,12.9857136372429,80.04774248473,-6870.57626421352,-1855.31201263217
19,12.9677272051246,80.1585008504218,5129.42373578648,-3855.31201263217
20,13.1655779584267,79.9739035742688,-14870.5762642135,18144.6879873678
21,13.0756457978348,80.1031216675759,-870.576264213516,8144.68798736783
22,13.0936322299532,80.2138800332677,11129.4237357865,10144.6879873678
23,13.0037000693613,80.2507994884983,15129.4237357865,144.68798736783
24,13.1296050941899,80.1031216675759,-870.576264213516,14144.6879873678
25,13.0756457978348,79.9923633018841,-12870.5762642135,8144.68798736783
26,12.8957814766511,80.04774248473,-6870.57626421352,-11855.3120126322
27,13.0576593657164,80.1585008504218,5129.42373578648,6144.68798736783
28,12.8418221802959,80.1769605780371,7129.42373578648,-17855.3120126322
29,13.1475915263083,79.9185243914229,-20870.5762642135,16144.6879873678
30,13.0576593657164,79.9554438466535,-16870.5762642135,6144.68798736783
31,12.9677272051246,79.9923633018841,-12870.5762642135,-3855.31201263217
32,13.1296050941899,79.9923633018841,-12870.5762642135,14144.6879873678
33,13.0037000693613,80.0108230294994,-10870.5762642135,144.68798736783
34,13.0936322299532,80.0292827571147,-8870.57626421352,10144.6879873678
35,13.0216865014797,80.0662022123453,-4870.57626421352,2144.68798736783
36,13.1116186620716,80.0662022123453,-4870.57626421352,12144.6879873678
37,12.8598086124143,80.0846619399606,-2870.57626421352,-15855.3120126322
38,12.9497407730062,80.1215813951912,1129.42373578648,-5855.31201263217
39,12.8058493160592,80.1585008504218,5129.42373578648,-21855.3120126322
40,12.9137679087694,80.1769605780371,7129.42373578648,-9855.31201263217
41,12.9857136372429,80.2138800332677,11129.4237357865,-1855.31201263217
42,13.0396729335981,80.232339760883,13129.4237357865,4144.68798736783
43,13.0396729335981,80.1215813951912,1129.42373578648,4144.68798736783
44,13.1835643905451,79.9369841190382,-18870.5762642135,20144.6879873678
45,13.0396729335981,80.0108230294994,-10870.5762642135,4144.68798736783
46,12.9317543408878,80.04774248473,-6870.57626421352,-7855.31201263217
47,12.8238357481776,80.0846619399606,-2870.57626421352,-19855.3120126322
48,12.8957814766511,80.0846619399606,-2870.57626421352,-11855.3120126322
49,12.9677272051246,80.0846619399606,-2870.57626421352,-3855.31201263217
50,12.8598086124143,80.1215813951912,1129.42373578648,-15855.3120126322
51,13.0037000693613,80.1585008504218,5129.42373578648,144.68798736783
52,12.8777950445327,80.1769605780371,7129.42373578648,-13855.3120126322
53,12.9497407730062,80.1954203056524,9129.42373578648,-5855.31201263217
54,13.0576593657164,80.1954203056524,9129.42373578648,6144.68798736783
55,12.8418221802959,80.2138800332677,11129.4237357865,-17855.3120126322
56,12.9137679087694,80.2138800332677,11129.4237357865,-9855.31201263217
57,13.0936322299532,79.9369841190382,-18870.5762642135,10144.6879873678
58,13.1296050941899,79.9369841190382,-18870.5762642135,14144.6879873678
59,13.1475915263083,79.9554438466535,-16870.5762642135,16144.6879873678
60,13.0936322299532,79.9739035742688,-14870.5762642135,10144.6879873678
