RelayID,Latitude,Longitude,X_m,Y_m
1,12.98813629375,80.145041825,-1.98247107618954e-09,-2.43360886997834e-10
2,13.1835643905451,79.900064133585,-26543.3781494616,21730.6128874115
3,12.8058493160592,80.2138614754761,7456.62185053839,-20269.3871125885
4,13.0216865014797,79.9738988022653,-18543.3781494616,3730.61288741151
5,12.8418221802959,80.0477334709455,-10543.3781494616,-16269.3871125885
6,13.1296050941899,80.0846508052856,-6543.37814946161,15730.6128874115
7,13.0756457978348,80.2692374769863,13456.6218505384,9730.61288741151
8,12.9137679087694,80.2323201426461,9456.62185053839,-8269.38711258849
9,12.9497407730062,80.0477334709455,-10543.3781494616,-4269.38711258849
10,12.8777950445327,80.1400268067958,-543.378149461612,-12269.3871125885
11,13.1116186620716,79.9923574694353,-16543.3781494616,13730.6128874115
12,13.0396729335981,80.0661921381156,-8543.37814946161,5730.61288741151
13,13.0936322299532,80.1769441411359,3456.62185053839,11730.6128874115
14,13.0037000693613,80.2323201426461,9456.62185053839,1730.61288741151
15,13.0936322299532,79.9369814679252,-22543.3781494616,11730.6128874115
16,13.1655779584267,79.9554401350952,-20543.3781494616,19730.6128874115
17,12.9677272051246,79.9923574694353,-16543.3781494616,-2269.38711258849
