PointID,Latitude,Longitude,TempC,PressurehPa,HumidityPct,WindSpeedMS,WindDirDeg,WindGustMS,Status,TimestampUTC
1,13.0023988590297,80.1111569679287,22.2066631326865,1007.05020164633,60.2957341300491,14.9483889306716,352.382075977517,15.0445157397978,SIMULATED,25-Feb-2026 03:49:10
2,13.1835643905451,79.9000646638076,27.2275423005609,1002.90601126979,58.595632846805,9.74027889859994,191.550133136444,10.3385352706797,SIMULATED,25-Feb-2026 03:49:10
3,12.8058493160592,80.2138800332677,27.1169300489428,1004.91385618079,74.118189090711,4.59254436452098,278.589339044942,6.37782561800479,SIMULATED,25-Feb-2026 03:49:10
4,13.0756457978348,80.2692592161136,25.5893618834697,1004.76724381374,64.7303669910402,14.3931635192717,188.608340653212,15.1822859690841,SIMULATED,25-Feb-2026 03:49:10
5,12.8418221802959,80.04774248473,24.284467364421,1004.69119533356,58.9066351452633,13.531370862475,346.687133682141,13.9517736625606,SIMULATED,25-Feb-2026 03:49:10
6,13.1475915263083,80.04774248473,23.7415641716421,1004.95564358209,69.5820787314008,13.7439696563642,126.183581185351,16.1094715088808,SIMULATED,25-Feb-2026 03:49:10
7,13.0216865014797,79.9739035742688,21.9256094757369,1007.22741231212,56.4685293072913,19.7500509538816,142.645957162383,20.0272950828437,SIMULATED,25-Feb-2026 03:49:10
8,12.9497407730062,80.232339760883,21.4769585174717,1006.83640561186,52.800816256993,14.4228587301526,241.053150981835,14.7881561500115,SIMULATED,25-Feb-2026 03:49:10
9,13.1116186620716,80.1585008504218,26.2099019459756,1006.73277704601,49.345694096404,12.4799444931303,299.312225384112,14.1088690883651,SIMULATED,25-Feb-2026 03:49:10
10,12.8957814766511,80.1400411228065,20.6548273066232,1002.63717178934,55.8760041821678,7.49333299582414,217.310793432547,10.3901311077149,SIMULATED,25-Feb-2026 03:49:10
11,12.9317543408878,80.0108230294994,25.1730935925481,1005.91800421611,60.701160627888,10.4559288971646,260.989967942679,11.2759020272883,SIMULATED,25-Feb-2026 03:49:10
12,13.1116186620716,79.9554438466535,22.4228328306205,1006.59662038353,45.9564028246997,14.4271589317603,91.450622916734,16.324435325895,SIMULATED,25-Feb-2026 03:49:10
13,13.0576593657164,80.04774248473,24.6748183236263,1004.18139811774,46.3455022103613,13.1176191744173,189.717349003024,15.6236441826609,SIMULATED,25-Feb-2026 03:49:10
14,13.0216865014797,80.1954203056524,23.5216393992619,1004.82562591492,61.7308001751686,15.3806348104962,207.60983258514,16.9990754268346,SIMULATED,25-Feb-2026 03:49:10
15,12.8238357481776,80.1215813951912,22.5972758827611,1007.67747926174,55.98983484428,16.3626335929646,348.88728568354,17.1543661921443,SIMULATED,25-Feb-2026 03:49:10
16,12.8777950445327,80.2138800332677,21.5696376450752,1013.84431840165,61.0215613294369,10.3940166873991,335.898644949405,13.1988792593019,SIMULATED,25-Feb-2026 03:49:10
17,12.9317543408878,80.0846619399606,25.0704491353708,1010.26843178166,60.6285329381966,6.94393274204101,322.7391139117,8.05819436672927,SIMULATED,25-Feb-2026 03:49:10
18,12.9857136372429,80.04774248473,26.8934691531522,1003.94346751524,53.5596640211198,6.39183493563948,244.324346681073,7.46434741277906,SIMULATED,25-Feb-2026 03:49:10
19,12.9677272051246,80.1585008504218,25.7789420912003,1007.78172688588,57.8605887996239,14.6075913060172,319.045146338442,17.603438299192,SIMULATED,25-Feb-2026 03:49:10
20,13.1655779584267,79.9739035742688,21.3889622843874,1010.65392695641,54.6191532973475,11.3876557618202,29.2539996539397,13.7085105688789,SIMULATED,25-Feb-2026 03:49:10
