RelayID,Latitude,Longitude
1,12.98813629375,80.145041825
2,13.1835643905451,79.900064133585
3,12.8058493160592,80.2138614754761
4,13.0216865014797,79.9738988022653
5,12.8418221802959,80.0477334709455
6,13.1296050941899,80.0846508052856
7,13.0756457978348,80.2692374769863
8,12.9137679087694,80.2323201426461
9,12.9497407730062,80.0477334709455
10,12.8777950445327,80.1400268067958
11,13.1116186620716,79.9923574694353
12,13.0396729335981,80.0661921381156
13,13.0936322299532,80.1769441411359
14,13.0037000693613,80.2323201426461
15,13.0936322299532,79.9369814679252
16,13.1655779584267,79.9554401350952
17,12.9677272051246,79.9923574694353
